Customer_ID,Name,Age,Gender,Country,State,City,Email,Signup_Date,Account_Status,Product_ID,Product_Name,Category,Price,Discount,Quantity,Purchase_Date,Delivery_Date,Payment_Type,Feedback_Score,Comments,Customer_Loyalty,Last_Login,Signup_Channel,Total_Purchase,Delivery_Duration,Age_Group,Gender_Code
1191,larry wallace,31,other,,arkansas,janetfort,gonzalezbrandi@shaffer-lambert.com,2021-05-23,inactive,358,police,misc,616.19,35.96,12,2025-04-04,2025-09-10,up,4.7,during about main range.,,2025-07-23,web,7394.280000000001,159,adult,3
8287,shawn palmer,20,male,uganda,texas,smithhaven,davidmendoza@hotmail.com,2025-05-18,,93,training,clothing,564.8,47.07,9,2025-01-23,2025-05-29,cash,4.2,beat increase state especially society color.,returning,2025-02-21,web,5083.2,126,adult,1
1379,louis cuevas,83,male,germany,idaho,samanthachester,yvonne52@hall.com,2020-08-02,,50,misc,electronics,424.45,31.25,15,2025-07-15,2025-09-08,credit,4.9,suddenly hold power wall daughter least environmental including.,new,2025-05-11,web,6366.75,55,senior,1
7739,tracy reed,109,male,hong kong,mississippi,new jamieland,erica26@yahoo.com,2021-09-03,,44,example,clothing,269.57,38.71,18,2025-04-10,2025-08-03,crdit,4.8,morning bed perhaps check dream make year.,new,2025-09-16,app,4852.26,115,senior,1
211,lynn garcia,15,male,rwanda,nebraska,lake michael,ocruz@yahoo.com,2020-08-19,active,82,first,misc,285.74,14.17,14,2025-05-14,2025-10-12,credit,2.7,now seem could training behavior.,new,2025-01-01,app,4000.36,151,teen,1
8372,samuel mcgee,0,male,martinique,new jersey,burkechester,tyler96@hotmail.com,2023-11-01,active,3,more,misc,238.07,1.16,18,2025-07-07,2025-09-24,debit,2.2,term meeting one statement role long campaign.,new,2025-03-11,phone,4285.26,79,child,1
5598,michelle case,6,other,,montana,christopherfurt,sullivanjared@hotmail.com,2025-07-29,banned,291,discuss,clothing,664.22,15.56,17,2025-01-03,2025-09-04,debit,3.9,describe again response machine remember.,vip,2025-09-22,app,11291.74,244,child,3
5921,candace bentley,108,other,korea,montana,chandlerchester,tcarr@guerrero.com,2021-04-23,,47,save,misc,320.88,23.23,5,2025-04-21,2025-06-27,upi,4.0,until wife new know whose use far.,,2025-08-26,web,1604.4,67,senior,3
7144,edgar hughes,10,male,japan,maryland,michelleberg,nbrooks@yahoo.com,2023-07-16,banned,161,unit,misc,179.83,34.55,11,2025-05-24,2025-09-25,debit,3.0,machine memory girl short budget.,,2025-05-04,web,1978.13,124,child,1
1619,michael shelton,11,other,mauritania,idaho,johnsonbury,jasonthomas@everett.com,2022-11-15,banned,9,well,misc,887.87,27.85,8,2025-04-12,2025-06-02,cash,1.7,analysis article sometimes mr.,new,2025-02-21,web,7102.96,51,child,3
2202,heather munoz,94,female,tanzania,kansas,davidland,mendezsue@hotmail.com,2025-05-03,inactive,301,name,misc,373.6,42.11,6,2025-01-03,2025-07-16,upi,3.9,color economy wonder poor as notice indicate couple.,,2025-09-16,app,2241.6000000000004,194,senior,2
930,nicole gomez,51,male,uzbekistan,colorado,east susan,spencerwilliam@tran.com,2021-06-29,,37,work,misc,483.78,18.26,4,2025-05-21,2025-09-20,cash,1.4,security per design special woman fall above.,vip,2025-04-21,web,1935.12,122,adult,1
116,kathy hernandez,103,female,lebanon,north dakota,barreramouth,jmoon@fitzpatrick.com,2021-02-23,banned,401,whom,misc,715.71,43.07,5,2025-08-07,2025-09-23,up,3.8,store base opportunity yeah activity.,new,2025-05-23,web,3578.55,47,senior,2
1184,jennifer walls,66,male,saint lucia,oregon,south nancychester,morganjoseph@gmail.com,2025-08-23,inactive,476,service,misc,116.68,21.55,7,2025-04-14,2025-08-01,credit,3.7,hair serious analysis then decision happy no.,new,2025-05-29,web,816.76,109,senior,1
1738,james haas,54,male,mauritania,new york,lake amandafort,ebrown@martinez.net,2020-06-20,banned,221,letter,misc,733.2,42.92,9,2025-06-21,2025-08-22,debit,2.4,there draw recent company deal.,new,2025-03-17,phone,6598.8,62,adult,1
2379,tina raymond,15,female,cameroon,missouri,chadfurt,wmoss@contreras.com,2024-01-26,inactive,83,movie,electronics,338.08,15.4,7,2025-04-16,2025-08-10,credit,2.5,record rate down economy.,new,2025-03-20,phone,2366.56,116,teen,2
3794,brad moore,99,male,united states minor outlying islands,hawaii,gardnerburgh,kaylakirby@gmail.com,2025-01-29,active,493,turn,misc,398.47,36.82,14,2025-05-07,2025-08-29,credit,1.1,until help scientist clearly bad.,new,2025-02-16,web,5578.58,114,senior,1
1962,unknown,66,other,cape verde,,joneshaven,pmorales@mclean-palmer.org,2022-02-12,banned,4,season,misc,82.95,12.5,20,2025-06-15,2025-06-15,cash,4.8,second girl write hope.,returning,,app,1659.0,0,senior,3
3713,kenneth sullivan,64,female,czech republic,north dakota,west amanda,ashleyjennings@hotmail.com,2021-07-02,active,293,fire,misc,296.03,-4.2,13,2025-04-09,2025-10-04,debit,4.9,,new,2025-06-28,web,3848.3899999999994,178,senior,2
3621,daniel gonzales,55,other,new zealand,minnesota,west michael,shannon84@hotmail.com,2024-05-22,inactive,470,happy,misc,795.23,40.1,9,2025-04-27,2025-06-29,crdit,1.8,base wrong for player old various better trial.,returning,2025-02-13,phone,7157.07,63,adult,3
567,ronald jones,3,other,dominica,,south craig,morganmiguel@hotmail.com,2025-04-07,inactive,148,management,clothing,984.52,19.3,16,2025-03-08,2025-04-09,cash,1.6,american miss surface life.,returning,2025-07-04,web,15752.32,32,child,3
7419,sarah johnson,19,male,uruguay,new york,east alex,dtaylor@gmail.com,2021-12-27,inactive,250,under,misc,241.02,34.87,6,2025-08-06,2025-08-27,credit,5.0,two plant exactly fly.,new,,web,1446.1200000000001,21,teen,1
